"samplename","time","sampletype","stationname","biol","tech","species_name","Nreads","station_num","station_type","model_out_name"
"MC_18S_RepFish_Skew_2_R2","1","MockCom","RepFish_Skew_2","1",2,"Squalus suckleyi",753,3,"MockCom2","1_MockCom_3_1"
"MC_18S_RepFish_Skew_2_R3","1","MockCom","RepFish_Skew_2","1",3,"Squalus suckleyi",798,3,"MockCom2","1_MockCom_3_1"
"MC_18S_RepFish_Even_R1","1","MockCom","RepFish_Even","1",1,"Mammalia",2150,1,"MockCom2","1_MockCom_1_1"
"MC_18S_RepFish_Even_R2","1","MockCom","RepFish_Even","1",2,"Mammalia",1452,1,"MockCom2","1_MockCom_1_1"
"MC_18S_RepFish_Even_R3","1","MockCom","RepFish_Even","1",3,"Mammalia",1777,1,"MockCom2","1_MockCom_1_1"
"MC_18S_RepFish_Skew_1_R1","1","MockCom","RepFish_Skew_1","1",1,"Mammalia",3876,2,"MockCom2","1_MockCom_2_1"
"MC_18S_RepFish_Skew_1_R2","1","MockCom","RepFish_Skew_1","1",2,"Mammalia",1712,2,"MockCom2","1_MockCom_2_1"
"MC_18S_RepFish_Skew_1_R3","1","MockCom","RepFish_Skew_1","1",3,"Mammalia",2467,2,"MockCom2","1_MockCom_2_1"
"MC_18S_RepFish_Skew_2_R1","1","MockCom","RepFish_Skew_2","1",1,"Mammalia",2104,3,"MockCom2","1_MockCom_3_1"
"MC_18S_RepFish_Skew_2_R2","1","MockCom","RepFish_Skew_2","1",2,"Mammalia",1307,3,"MockCom2","1_MockCom_3_1"
"MC_18S_RepFish_Skew_2_R3","1","MockCom","RepFish_Skew_2","1",3,"Mammalia",1566,3,"MockCom2","1_MockCom_3_1"
"MC_18S_RepFish_Even_R1","1","MockCom","RepFish_Even","1",1,"Cephalopoda",5002,1,"MockCom2","1_MockCom_1_1"
"MC_18S_RepFish_Even_R2","1","MockCom","RepFish_Even","1",2,"Cephalopoda",3553,1,"MockCom2","1_MockCom_1_1"
"MC_18S_RepFish_Even_R3","1","MockCom","RepFish_Even","1",3,"Cephalopoda",4029,1,"MockCom2","1_MockCom_1_1"
"MC_18S_RepFish_Skew_1_R1","1","MockCom","RepFish_Skew_1","1",1,"Cephalopoda",3216,2,"MockCom2","1_MockCom_2_1"
"MC_18S_RepFish_Skew_1_R2","1","MockCom","RepFish_Skew_1","1",2,"Cephalopoda",899,2,"MockCom2","1_MockCom_2_1"
"MC_18S_RepFish_Skew_1_R3","1","MockCom","RepFish_Skew_1","1",3,"Cephalopoda",1700,2,"MockCom2","1_MockCom_2_1"
"MC_18S_RepFish_Skew_2_R1","1","MockCom","RepFish_Skew_2","1",1,"Cephalopoda",2907,3,"MockCom2","1_MockCom_3_1"
