"samplename","time","sampletype","station","biol","tech","species_name","Nreads","station_num","station_type","model_out_name","corrected_prop","median_prop","lower_95","upper_95","sd_prop","total_reads_sample","uncorrected_prop","expected_prop","source","sample_type","sample"
"MC_18S_RepFish_Even_R2",1,"MockCom","RepFish_Even",1,2,"Actinopteri",15623,1,"MockCom2","1_MockCom_1_1",0.0697431702807585,0.0657471349052392,0.0303900334240726,0.131622494155507,0.0262685206496964,34164,0.457294227842173,0.2,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Even_R3",1,"MockCom","RepFish_Even",1,3,"Actinopteri",19170,1,"MockCom2","1_MockCom_1_1",0.0697431702807585,0.0657471349052392,0.0303900334240726,0.131622494155507,0.0262685206496964,40990,0.46767504269334,0.2,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Skew_1_R1",1,"MockCom","RepFish_Skew_1",1,1,"Actinopteri",33402,2,"MockCom2","1_MockCom_2_1",0.137704005759261,0.132053488255415,0.0659121322787993,0.240903536628203,0.0451176326127535,55336,0.603621512216279,0.356294536817102,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_1_R2",1,"MockCom","RepFish_Skew_1",1,2,"Actinopteri",15517,2,"MockCom2","1_MockCom_2_1",0.137704005759261,0.132053488255415,0.0659121322787993,0.240903536628203,0.0451176326127535,25216,0.61536326142132,0.356294536817102,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_1_R3",1,"MockCom","RepFish_Skew_1",1,3,"Actinopteri",22884,2,"MockCom2","1_MockCom_2_1",0.137704005759261,0.132053488255415,0.0659121322787993,0.240903536628203,0.0451176326127535,39078,0.585598034699831,0.356294536817102,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_2_R1",1,"MockCom","RepFish_Skew_2",1,1,"Actinopteri",19489,3,"MockCom2","1_MockCom_3_1",0.115316795036841,0.110256062934825,0.0535591726582716,0.206845407798611,0.0394870624575644,35874,0.543262529965992,0.293814432989691,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Skew_2_R2",1,"MockCom","RepFish_Skew_2",1,2,"Actinopteri",12633,3,"MockCom2","1_MockCom_3_1",0.115316795036841,0.110256062934825,0.0535591726582716,0.206845407798611,0.0394870624575644,21387,0.590685930705569,0.293814432989691,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Skew_2_R3",1,"MockCom","RepFish_Skew_2",1,3,"Actinopteri",15034,3,"MockCom2","1_MockCom_3_1",0.115316795036841,0.110256062934825,0.0535591726582716,0.206845407798611,0.0394870624575644,27638,0.543961212822925,0.293814432989691,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Even_R1",1,"MockCom","RepFish_Even",1,1,"Rajidae",1545,1,"MockCom2","1_MockCom_1_1",0.00573618684388745,0.00535845740623262,0.00258098973752555,0.0110729522707666,0.0022143176558835,48454,0.031885912411772,0.0666666666666667,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Even_R2",1,"MockCom","RepFish_Even",1,2,"Rajidae",1150,1,"MockCom2","1_MockCom_1_1",0.00573618684388745,0.00535845740623262,0.00258098973752555,0.0110729522707666,0.0022143176558835,34164,0.0336611637981501,0.0666666666666667,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Even_R3",1,"MockCom","RepFish_Even",1,3,"Rajidae",1437,1,"MockCom2","1_MockCom_1_1",0.00573618684388745,0.00535845740623262,0.00258098973752555,0.0110729522707666,0.0022143176558835,40990,0.0350573310563552,0.0666666666666667,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Skew_1_R1",1,"MockCom","RepFish_Skew_1",1,1,"Rajidae",2636,2,"MockCom2","1_MockCom_2_1",0.0139588309618911,0.0131350465548542,0.00668262387182167,0.0258967704728762,0.0050273468780933,55336,0.0476362584935666,0.118764845605701,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_1_R2",1,"MockCom","RepFish_Skew_1",1,2,"Rajidae",1311,2,"MockCom2","1_MockCom_2_1",0.0139588309618911,0.0131350465548542,0.00668262387182167,0.0258967704728762,0.0050273468780933,25216,0.0519907994923858,0.118764845605701,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_1_R3",1,"MockCom","RepFish_Skew_1",1,3,"Rajidae",2149,2,"MockCom2","1_MockCom_2_1",0.0139588309618911,0.0131350465548542,0.00668262387182167,0.0258967704728762,0.0050273468780933,39078,0.0549925789446748,0.118764845605701,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_2_R1",1,"MockCom","RepFish_Skew_2",1,1,"Rajidae",2372,3,"MockCom2","1_MockCom_3_1",0.0161228284586425,0.0151630621930815,0.00761680935876171,0.030291551046463,0.00590381917921878,35874,0.0661203099737972,0.128865979381443,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Skew_2_R2",1,"MockCom","RepFish_Skew_2",1,2,"Rajidae",1447,3,"MockCom2","1_MockCom_3_1",0.0161228284586425,0.0151630621930815,0.00761680935876171,0.030291551046463,0.00590381917921878,21387,0.0676579230373591,0.128865979381443,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Skew_2_R3",1,"MockCom","RepFish_Skew_2",1,3,"Rajidae",1717,3,"MockCom2","1_MockCom_3_1",0.0161228284586425,0.0151630621930815,0.00761680935876171,0.030291551046463,0.00590381917921878,27638,0.0621246110427672,0.128865979381443,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Even_R1",1,"MockCom","RepFish_Even",1,1,"Squalus suckleyi",847,1,"MockCom2","1_MockCom_1_1",0.0081804412839697,0.00761826996343089,0.00352723388092529,0.0160386578564222,0.00322164834683641,48454,0.0174804969661947,0.0666666666666667,"Mock","MockCom2","RepFish_Even"
