"featureid","final_taxonomy"
"c64e38df496cab54eb828c72c5da0e36","Eukaryota"
"c56411b905eabb22925389989c066b87","Eukaryota"
"1bf6b462f6a6050ff71a886c39bd5b1c","Eukaryota;Mollusca;Cephalopoda;Octopoda;Octopodidae;Octopus;NA"
"68685f137c9457b25e458c8fbbd27965","Eukaryota;Ciliophora;Spirotrichea;Kiitrichida;Kiitrichidae;Caryotricha;Caryotricha rariseta"
"9ac9196bec785aedaf2d9e36e49215ce","Eukaryota;Basidiomycota;Tremellomycetes"
"e31c58ed38fa2fb6b225d4f88e14d0db","Eukaryota"
"81bedb7c220af81d03dee2c680d38332","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"21e1f1f82d3c423450925122d7153ff4","Eukaryota;Chordata;Actinopteri"
"8b216e4a3498ebc531e1535b519713c7","Eukaryota;Ciliophora;Colpodea;Bursariomorphida;Bursariidae;Bursaria;NA"
"c564beb3d175718432293ccc3277554f","Eukaryota;Chordata"
"45484022047f547fe362f9d994632168","Eukaryota;Chordata"
"fa198c784e68419fd950d89fb6374a5a","Eukaryota;Bacillariophyta;Bacillariophyceae"
"e393bb4bdae916a491130580027febc0","Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella sp. MOW10"
"93e44dcb95a729a6237fc8bb7dfaa2b2","Eukaryota"
"69cd13bf31b46aaa94cabb4b9d8062c9","Eukaryota"
"4cf0b3a75afaea2c808176642bda9b9b","Eukaryota;Oomycota;unclassified;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia parasitica"
"323a27273cb769db38cef7c00bece085","Eukaryota;Arthropoda;Malacostraca;Decapoda"
"5b83df755965952dfc9708d2a9bbdeac","Eukaryota;Chordata;Actinopteri"
"e8e241617b7193fd01f1b3060432686b","Eukaryota"
"3fd0e0aa1d341a8c6dee38deddbfe815","Eukaryota"
"24197418dc4dd089f49ac1ffd067e850","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"b2d39a70bbeaa33b88f5409b23d5822d","Eukaryota;Basidiomycota"
"373af875015b68ac648e2cc5a15c9021","Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella"
"5242eeb097bd609dc9f8a098394bde11","Eukaryota"
"210be8d3396f2f6cde72d0a29b02b1a5","Eukaryota"
"a5663557832174ba505779c49d930f41","Eukaryota;Apicomplexa"
"669fbceb1dc58f2dd376ba15d26847d8","Eukaryota"
"008dbd2a2312c6a730c08b0afa92a626","Eukaryota"
"286da8c9fb1ae18b527dab5c02ac87fa","Eukaryota;Ascomycota"
"54f5c80bbad8f666036bed42d4503d85","Eukaryota;Chordata;Actinopteri"
"ccdf2ed0db6277e56e5b4d389b141b54","Eukaryota;Ascomycota;Eurotiomycetes"
"86bc610bf55291ac2e45459bc525417f","Eukaryota"
"722bf6a2354548e062bdff8a82145b9d","Eukaryota"
"9d1f0d0f52639770c7cf0cd973d484a3","Eukaryota"
"7b6cfa648ba2376aec386e52dc6d8f9a","Eukaryota"
"1f6e87808742dff03bc79f89c65bdc99","Eukaryota;Nematoda;Chromadorea;Strongylida;Pseudaliidae;Stenurus;Stenurus minor"
"5e34794c696fa0558b23e2d286a7a587","Eukaryota;Arthropoda"
"e95a483cdd74c352578e77fb089d82b3","Eukaryota;Nematoda;Chromadorea;Rhabditida"
"b5fed73565c9420fe33c1b1d1ecfa037","Eukaryota"
"1168c59b281ae629b2aa49d2f9abcf9e","Eukaryota;Arthropoda;Malacostraca;Decapoda"
"8b43aec23ea3355abf6ac204d60a741e","Eukaryota;Apicomplexa"
"ca1269f7738683619f4d52859e83f0cf","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"4a5b43487d4d4b24d58e8a72c535fdb0","Eukaryota"
"870f8692b2203fcb2a2c11cc57dc868a","Eukaryota;Arthropoda;Malacostraca;Decapoda;Crangonidae;Crangon;Crangon spp."
"f6fbdb0b2868589e00ea7be9e04adfe7","Eukaryota;Nematoda;Chromadorea;Strongylida;Pseudaliidae;Stenurus;Stenurus minor"
"7589b64c75bdda14030282735ec04b0f","Eukaryota;Ascomycota;Sordariomycetes;Hypocreales"
"f976f8d5eca0cf36d1491bd3b49175f5","Eukaryota"
"19d95a68313ce0608069743ca8199ba8","Eukaryota"
"fedda1f8b17773f967932985ab36339f","Eukaryota"
"3f362ed7744c8c2c92b9c3ae265a27dc","Eukaryota;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Catapyrenium;Catapyrenium daedaleum"
"95dbe16d06fd38a55be14a65977cd57c","Eukaryota;Ascomycota"
"e8db8282e2ec0a30b4e3dd6e42b5c4f6","Eukaryota"
"9db41672a3fb9c34af0791d25ea24902","Eukaryota"
"7e84112817c114b45372c783d50eb8c9","Eukaryota;Bacillariophyta;Bacillariophyceae"
"a3ae48440c18286e40520e50d18b83f5","Eukaryota"
"71291fbd3f1568d5da624612a8b98583","Eukaryota;Chlorophyta"
"a731b2078c42e40cbbd166b24bac7bc1","Eukaryota"
"901dea08e5fd595736597f06b642f0f3","Eukaryota;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Coccidioides;Coccidioides immitis"
"e370cddb27ed39fd286c9881f63271fd","Eukaryota"
"1caed016734da268b9226af1e8bf95ed","Eukaryota;Porifera;Demospongiae;Sphaerocladina;Vetulinidae;Vetulina;NA"
"615607075a9baef55b9c6a1125b453bd","Eukaryota"
"6d1f26f0801b0e052d3cfd63ca3e4c4b","Eukaryota;Arthropoda;Malacostraca;Decapoda;Cancridae;Metacarcinus;Metacarcinus magister"
