feature_id	Taxon
ab75d69e8919838f7f5c299feebbc6c9	Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes auriculatus
fc4aa16810635452d278a21b350bbc5a	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo salar
d6f96e5bf4b7b245b288f5e05738d1af	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
70a1138682757872555195c15b9d284e	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa sapidissima
ebc52de9c7f19677ce83ac48efe4bb57	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus nerka
e1887f43b0c236ff4d967b92535f4755	Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus macrocephalus
de327441dc701f7b47d65ca1f6faf87c	Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes
dd4773a290c8ec2be79b501b8e7298ca	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
ed3048646ed28d8abcc701635820f102	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Chitonotus;Chitonotus pugetensis
37a82feda1e062b695c41590816e8808	Eukaryota;Chordata;Actinopteri;Embiotocidae;Cymatogaster;Cymatogaster aggregata
a850661428ffe2d42661ba44f8f556fd	Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Lumpenus;Lumpenus sagitta
4bdde1b9c9143c5bbc037c1c914945d1	Eukaryota;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis ornata
299048dc7270729c57ca559454cfecc4	Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus
d5db25bdf5c3fcbe295ae9353df3676c	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Raja;Beringraja rhina
57246bd158f878043e2e95a2d120637c	Eukaryota;Chordata;Chondrichthyes;Squaliformes;Squalidae;Squalus;Squalus suckleyi
51e5d2842aa306df5753bde5b8cac319	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta
a575e028d706654e0f9581f2ee5961ac	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus
edc4f47d057e7b5c5fe7e00ad39a346a	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae
1b7278eea35362c7b291b09060f89f8b	Eukaryota;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Ammodytes;Ammodytes personatus
7cac3fd6e6d382c1aba3ad0b7bf4b83f	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Artedius;Artedius fenestralis
f63f1dbf324cfcaa0f8a73d9cec9bdfd	Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus
8ef89acd01912a5f132e0bf08c1c221c	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
55f6b29006d79877c6f66c1de82176e1	Eukaryota;Chordata;Actinopteri;Osmeriformes;Osmeridae;Spirinchus;Spirinchus thaleichthys
12d80c3d50fc38f4d7d913e99a71898d	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta
b97a574926bd9a42cfeae7de26af96bd	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus
fdac3f4269392a4ca4c8af6046193aac	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Glyptocephalus;Glyptocephalus zachirus
69e22b0c513be416156648ef853cf26b	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
1a4e2e4056adf870ff7958adb7c5349b	Eukaryota;Chordata;Chondrichthyes;Squaliformes;Squalidae;Squalus;Squalus suckleyi
04c6bbb48f3a2c356f4c5c3c7ab044bb	Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus
8e728ddf737ff9d4a6cee4b9d5d8bad5	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
ad24b1a80caf14d385e92af72ec429b9	Eukaryota;Chordata;Actinopteri;Ophidiiformes;Bythitidae;Brosmophycis;Brosmophycis marginata
a6b05470be1973a905c2a946717dd8c3	Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Zalophus
8df007d87980ecfc1774c21ae30654e2	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
5f4b123ff8497dfbb09abe5faddcf082	Eukaryota;Chordata;Actinopteri;Perciformes;Cyclopteridae;Eumicrotremus;Eumicrotremus orbis
5e7f0a37c41c030f02f30a2aaca1b58a	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae
