sampleid	plate-well	project
18OO0237	B-C04	HarborSealScat_HS_1-4
18OO0238	B-D04	HarborSealScat_HS_1-4
18OO0239	B-E04	HarborSealScat_HS_1-4
18OO0240	B-F04	HarborSealScat_HS_1-4
18OO0241	B-G04	HarborSealScat_HS_1-4
18OO0242	B-H04	HarborSealScat_HS_1-4
18OO0243	B-A05	HarborSealScat_HS_1-4
18OO0244	B-B05	HarborSealScat_HS_1-4
18OO0245	B-C05	HarborSealScat_HS_1-4
18OO0246	B-D05	HarborSealScat_HS_1-4
18OO0247	B-E05	HarborSealScat_HS_1-4
18OO0248	B-F05	HarborSealScat_HS_1-4
18OO0249	B-G05	HarborSealScat_HS_1-4
18OO0250	B-H05	HarborSealScat_HS_1-4
18OO0251	B-A06	HarborSealScat_HS_1-4
18OO0252	B-B06	HarborSealScat_HS_1-4
18OO0253	B-C06	HarborSealScat_HS_1-4
18OO0254	B-D06	HarborSealScat_HS_1-4
18OO0255	B-E06	HarborSealScat_HS_1-4
18OO0256	B-F06	HarborSealScat_HS_1-4
18OO0257	B-G06	HarborSealScat_HS_1-4
18OO0258	B-H06	HarborSealScat_HS_1-4
18OO0259	B-A07	HarborSealScat_HS_1-4
18OO0260	B-B07	HarborSealScat_HS_1-4
18OO0261	B-C07	HarborSealScat_HS_1-4
18OO0262	B-D07	HarborSealScat_HS_1-4
18OO0263	B-E07	HarborSealScat_HS_1-4
18OO0264	B-F07	HarborSealScat_HS_1-4
18OO0265	B-G07	HarborSealScat_HS_1-4
18OO0266	B-H07	HarborSealScat_HS_1-4
18OO0267	B-A08	HarborSealScat_HS_1-4
18OO0268	B-B08	HarborSealScat_HS_1-4
18OO0284	B-C08	HarborSealScat_HS_1-4
18OO0285	B-D08	HarborSealScat_HS_1-4
18OO0287	B-E08	HarborSealScat_HS_1-4
18OO0289	B-F08	HarborSealScat_HS_1-4
18OO0290	B-G08	HarborSealScat_HS_1-4
18OO0291	B-H08	HarborSealScat_HS_1-4
18OO0293	B-A09	HarborSealScat_HS_1-4
18OO0294	B-B09	HarborSealScat_HS_1-4
18OO0295	B-C09	HarborSealScat_HS_1-4
18OO0296	B-D09	HarborSealScat_HS_1-4
18OO0297	B-E09	HarborSealScat_HS_1-4
18OO0299	B-F09	HarborSealScat_HS_1-4
18OO0300	B-G09	HarborSealScat_HS_1-4
18OO0302	B-H09	HarborSealScat_HS_1-4
18OO0304	B-A10	HarborSealScat_HS_1-4
18OO0305	B-B10	HarborSealScat_HS_1-4
18OO0307	B-C10	HarborSealScat_HS_1-4
18OO0309	B-D10	HarborSealScat_HS_1-4
18OO0310	B-E10	HarborSealScat_HS_1-4
18OO0417	B-F10	HarborSealScat_HS_1-4
18OO0418	B-G10	HarborSealScat_HS_1-4
18OO0419	B-H10	HarborSealScat_HS_1-4
18OO0420	B-A11	HarborSealScat_HS_1-4
18OO0421	B-B11	HarborSealScat_HS_1-4
18OO0422	B-C11	HarborSealScat_HS_1-4
18OO0423	B-D11	HarborSealScat_HS_1-4
18OO0424	B-E11	HarborSealScat_HS_1-4
18OO0425	B-F11	HarborSealScat_HS_1-4
18OO0426	B-G11	HarborSealScat_HS_1-4
18OO0427	B-H11	HarborSealScat_HS_1-4
18OO0428	B-A12	HarborSealScat_HS_1-4
18OO0429	B-B12	HarborSealScat_HS_1-4
18OO0430	B-C12	HarborSealScat_HS_1-4
18OO0431	B-D12	HarborSealScat_HS_1-4
18OO0432_1	B-E12	HarborSealScat_HS_1-4
18OO0432_2	B-F12	HarborSealScat_HS_1-4
18OO0432_3	B-G12	HarborSealScat_HS_1-4
Kang_HS_02	B-H12	HarborSealScat_HS_1-4
18OO0433	C-A01	HarborSealScat_HS_1-4
18OO0434	C-B01	HarborSealScat_HS_1-4
18OO0435	C-C01	HarborSealScat_HS_1-4
18OO0436	C-D01	HarborSealScat_HS_1-4
18OO0459	C-E01	HarborSealScat_HS_1-4
18OO0460	C-F01	HarborSealScat_HS_1-4
18OO0461	C-G01	HarborSealScat_HS_1-4
18OO0462	C-H01	HarborSealScat_HS_1-4
18OO0463	C-A02	HarborSealScat_HS_1-4
18OO0464	C-B02	HarborSealScat_HS_1-4
18OO0465	C-C02	HarborSealScat_HS_1-4
18OO0466	C-D02	HarborSealScat_HS_1-4
18OO0467	C-E02	HarborSealScat_HS_1-4
18OO0468	C-F02	HarborSealScat_HS_1-4
18OO0469	C-G02	HarborSealScat_HS_1-4
18OO0470	C-H02	HarborSealScat_HS_1-4
18OO0471	C-A03	HarborSealScat_HS_1-4
18OO0472	C-B03	HarborSealScat_HS_1-4
18OO0473	C-C03	HarborSealScat_HS_1-4
18OO0474	C-D03	HarborSealScat_HS_1-4
18OO0476	C-E03	HarborSealScat_HS_1-4
18OO0477	C-F03	HarborSealScat_HS_1-4
18OO0478	C-G03	HarborSealScat_HS_1-4
18OO0479	C-H03	HarborSealScat_HS_1-4
18OO0657	C-A04	HarborSealScat_HS_1-4
18OO0658	C-B04	HarborSealScat_HS_1-4
18OO0659	C-C04	HarborSealScat_HS_1-4
18OO0660	C-D04	HarborSealScat_HS_1-4
18OO0661	C-E04	HarborSealScat_HS_1-4
18OO0662	C-F04	HarborSealScat_HS_1-4
18OO0663	C-G04	HarborSealScat_HS_1-4
18OO0664	C-H04	HarborSealScat_HS_1-4
18OO0665	C-A05	HarborSealScat_HS_1-4
18OO0666	C-B05	HarborSealScat_HS_1-4
18OO0667	C-C05	HarborSealScat_HS_1-4
18OO0668	C-D05	HarborSealScat_HS_1-4
18OO0669	C-E05	HarborSealScat_HS_1-4
18OO0670	C-F05	HarborSealScat_HS_1-4
18OO0671	C-G05	HarborSealScat_HS_1-4
18OO0672	C-H05	HarborSealScat_HS_1-4
18OO0673	C-A06	HarborSealScat_HS_1-4
18OO0674	C-B06	HarborSealScat_HS_1-4
18OO0675	C-C06	HarborSealScat_HS_1-4
18OO0676	C-D06	HarborSealScat_HS_1-4
18OO0677	C-E06	HarborSealScat_HS_1-4
18OO0678	C-F06	HarborSealScat_HS_1-4
18OO0679	C-G06	HarborSealScat_HS_1-4
18OO0680	C-H06	HarborSealScat_HS_1-4
18OO0681	C-A07	HarborSealScat_HS_1-4
18OO0682	C-B07	HarborSealScat_HS_1-4
18OO0683	C-C07	HarborSealScat_HS_1-4
18OO0684	C-D07	HarborSealScat_HS_1-4
18OO0685	C-E07	HarborSealScat_HS_1-4
18OO0686	C-F07	HarborSealScat_HS_1-4
18OO0687	C-G07	HarborSealScat_HS_1-4
18OO0688	C-H07	HarborSealScat_HS_1-4
18OO0689	C-A08	HarborSealScat_HS_1-4
18OO0690	C-B08	HarborSealScat_HS_1-4
18OO0691	C-C08	HarborSealScat_HS_1-4
18OO0692	C-D08	HarborSealScat_HS_1-4
18OO0693	C-E08	HarborSealScat_HS_1-4
18OO0694	C-F08	HarborSealScat_HS_1-4
18OO0695	C-G08	HarborSealScat_HS_1-4
18QY0013	C-H08	HarborSealScat_HS_1-4
18QY0014	C-A09	HarborSealScat_HS_1-4
18QY0015	C-B09	HarborSealScat_HS_1-4
18QY0016	C-C09	HarborSealScat_HS_1-4
18QY0017	C-D09	HarborSealScat_HS_1-4
18QY0018	C-E09	HarborSealScat_HS_1-4
18QY0019	C-F09	HarborSealScat_HS_1-4
18QY0020	C-G09	HarborSealScat_HS_1-4
18QY0021	C-H09	HarborSealScat_HS_1-4
18QY0022	C-A10	HarborSealScat_HS_1-4
18QY0023	C-B10	HarborSealScat_HS_1-4
18QY0024	C-C10	HarborSealScat_HS_1-4
18QY0025	C-D10	HarborSealScat_HS_1-4
18QY0026	C-E10	HarborSealScat_HS_1-4
18QY0027	C-F10	HarborSealScat_HS_1-4
18QY0028	C-G10	HarborSealScat_HS_1-4
18QY0029	C-H10	HarborSealScat_HS_1-4
18QY0030	C-A11	HarborSealScat_HS_1-4
18QY0031	C-B11	HarborSealScat_HS_1-4
18QY0032	C-C11	HarborSealScat_HS_1-4
18QY0033	C-D11	HarborSealScat_HS_1-4
18QY0034	C-E11	HarborSealScat_HS_1-4
18QY0035	C-F11	HarborSealScat_HS_1-4
18QY0036	C-G11	HarborSealScat_HS_1-4
18QY0037	C-H11	HarborSealScat_HS_1-4
