diet,date,seal_id,diet_sp,expected_prop,actual_mass,total_mass
D2,20240831,Pym,capelin,0.15,0.44,2.78
D2,20240831,Pym,salmon_2,0.3,0.88,2.78
D2,20240831,Pym,squid,0.05,0.1,2.78
D2,20240831,Pym,prawn,0,0,2.78
D2,20240831,Pym,hake,0.1,0.2,2.78
D2,20240901,DaVinci,herring,0.4,0.68,1.72
D2,20240901,DaVinci,capelin,0.15,0.26,1.72
D2,20240901,DaVinci,salmon_2,0.3,0.52,1.72
D2,20240901,DaVinci,squid,0.05,0.08,1.72
D2,20240901,DaVinci,prawn,0,0,1.72
D2,20240901,DaVinci,hake,0.1,0.18,1.72
D2,20240901,Pym,herring,0.4,1.16,2.78
D2,20240901,Pym,capelin,0.15,0.44,2.78
D2,20240901,Pym,salmon_2,0.3,0.88,2.78
D2,20240901,Pym,squid,0.05,0.1,2.78
D2,20240901,Pym,prawn,0,0,2.78
D2,20240901,Pym,hake,0.1,0.2,2.78
D2,20240902,DaVinci,herring,0.4,0.68,1.72
D2,20240902,DaVinci,capelin,0.15,0.26,1.72
D2,20240902,DaVinci,salmon_2,0.3,0.52,1.72
D2,20240902,DaVinci,squid,0.05,0.08,1.72
D2,20240902,DaVinci,prawn,0,0,1.72
D2,20240902,DaVinci,hake,0.1,0.18,1.72
D2,20240902,Pym,herring,0.4,1.16,2.78
D2,20240902,Pym,capelin,0.15,0.44,2.78
D2,20240902,Pym,salmon_2,0.3,0.88,2.78
D2,20240902,Pym,squid,0.05,0.1,2.78
D2,20240902,Pym,prawn,0,0,2.78
D2,20240902,Pym,hake,0.1,0.2,2.78
D2,20240903,DaVinci,herring,0.4,0.68,1.72
D2,20240903,DaVinci,capelin,0.15,0.26,1.72
D2,20240903,DaVinci,salmon_2,0.3,0.52,1.72
D2,20240903,DaVinci,squid,0.05,0.08,1.72
D2,20240903,DaVinci,prawn,0,0,1.72
D2,20240903,DaVinci,hake,0.1,0.18,1.72
D2,20240903,Pym,herring,0.4,1.16,2.78
D2,20240903,Pym,capelin,0.15,0.44,2.78
D2,20240903,Pym,salmon_2,0.3,0.88,2.78
D2,20240903,Pym,squid,0.05,0.1,2.78
D2,20240903,Pym,prawn,0,0,2.78
D2,20240903,Pym,hake,0.1,0.2,2.78
D2,20240904,DaVinci,herring,0.4,0.68,1.72
D2,20240904,DaVinci,capelin,0.15,0.26,1.72
D2,20240904,DaVinci,salmon_2,0.3,0.52,1.72
D2,20240904,DaVinci,squid,0.05,0.08,1.72
D2,20240904,DaVinci,prawn,0,0,1.72
D2,20240904,DaVinci,hake,0.1,0.18,1.72
D2,20240904,Pym,herring,0.4,1.16,2.78
D2,20240904,Pym,capelin,0.15,0.44,2.78
D2,20240904,Pym,salmon_2,0.3,0.88,2.78
D2,20240904,Pym,squid,0.05,0.1,2.78
D2,20240904,Pym,prawn,0,0,2.78
D2,20240904,Pym,hake,0.1,0.2,2.78
D2,20240905,DaVinci,herring,0.4,0.68,1.72
D2,20240905,DaVinci,capelin,0.15,0.26,1.72
D2,20240905,DaVinci,salmon_2,0.3,0.52,1.72
D2,20240905,DaVinci,squid,0.05,0.08,1.72
D2,20240905,DaVinci,prawn,0,0,1.72
D2,20240905,DaVinci,hake,0.1,0.18,1.72
D2,20240905,Pym,herring,0.4,1.16,2.78
D2,20240905,Pym,capelin,0.15,0.44,2.78
D2,20240905,Pym,salmon_2,0.3,0.88,2.78
D2,20240905,Pym,squid,0.05,0.1,2.78
D2,20240905,Pym,prawn,0,0,2.78
D2,20240905,Pym,hake,0.1,0.2,2.78
D2,20240906,DaVinci,herring,0.4,0.68,1.72
D2,20240906,DaVinci,capelin,0.15,0.26,1.72
D2,20240906,DaVinci,salmon_2,0.3,0.52,1.72
D2,20240906,DaVinci,squid,0.05,0.08,1.72
D2,20240906,DaVinci,prawn,0,0,1.72
D2,20240906,DaVinci,hake,0.1,0.18,1.72
D2,20240906,Pym,herring,0.4,1.16,2.78
D2,20240906,Pym,capelin,0.15,0.44,2.78
D2,20240906,Pym,salmon_2,0.3,0.88,2.78
D2,20240906,Pym,squid,0.05,0.1,2.78
D2,20240906,Pym,prawn,0,0,2.78
D2,20240906,Pym,hake,0.1,0.2,2.78
D3,20241008,DaVinci,herring,0.5,2,3.8
D3,20241008,DaVinci,capelin,0.2,0.8,3.8
D3,20241008,DaVinci,salmon_2,0.1,0.2,3.8
D3,20241008,DaVinci,squid,0.05,0.2,3.8
D3,20241008,DaVinci,prawn,0.15,0.6,3.8
D3,20241008,DaVinci,hake,0,0,3.8
D3,20241008,Pym,herring,0.5,1.8,3.42
D3,20241008,Pym,capelin,0.2,0.72,3.42
D3,20241008,Pym,salmon_2,0.1,0.36,3.42
D3,20241008,Pym,squid,0.05,0.18,3.42
D3,20241008,Pym,prawn,0.15,0.36,3.42
D3,20241008,Pym,hake,0,0,3.42
D3,20241009,DaVinci,herring,0.5,2,3.8
D3,20241009,DaVinci,capelin,0.2,0.8,3.8
D3,20241009,DaVinci,salmon_2,0.1,0.2,3.8
D3,20241009,DaVinci,squid,0.05,0.2,3.8
D3,20241009,DaVinci,prawn,0.15,0.6,3.8
D3,20241009,DaVinci,hake,0,0,3.8
D3,20241009,Pym,herring,0.5,1.8,3.42
D3,20241009,Pym,capelin,0.2,0.72,3.42
D3,20241009,Pym,salmon_2,0.1,0.36,3.42
D3,20241009,Pym,squid,0.05,0.18,3.42
D3,20241009,Pym,prawn,0.15,0.36,3.42
D3,20241009,Pym,hake,0,0,3.42
D3,20241010,DaVinci,herring,0.5,2,3.8
D3,20241010,DaVinci,capelin,0.2,0.8,3.8
D3,20241010,DaVinci,salmon_2,0.1,0.2,3.8
D3,20241010,DaVinci,squid,0.05,0.2,3.8
D3,20241010,DaVinci,prawn,0.15,0.6,3.8
D3,20241010,DaVinci,hake,0,0,3.8
D3,20241010,Pym,herring,0.5,1.8,3.42
D3,20241010,Pym,capelin,0.2,0.72,3.42
D3,20241010,Pym,salmon_2,0.1,0.36,3.42
D3,20241010,Pym,squid,0.05,0.18,3.42
D3,20241010,Pym,prawn,0.15,0.36,3.42
D3,20241010,Pym,hake,0,0,3.42
D3,20241011,DaVinci,herring,0.5,2,3.8
D3,20241011,DaVinci,capelin,0.2,0.8,3.8
D3,20241011,DaVinci,salmon_2,0.1,0.2,3.8
D3,20241011,DaVinci,squid,0.05,0.2,3.8
D3,20241011,DaVinci,prawn,0.15,0.6,3.8
D3,20241011,DaVinci,hake,0,0,3.8
D3,20241011,Pym,herring,0.5,1.8,3.42
D3,20241011,Pym,capelin,0.2,0.72,3.42
D3,20241011,Pym,salmon_2,0.1,0.36,3.42
D3,20241011,Pym,squid,0.05,0.18,3.42
D3,20241011,Pym,prawn,0.15,0.36,3.42
D3,20241011,Pym,hake,0,0,3.42
D3,20241012,DaVinci,herring,0.5,2,3.8
D3,20241012,DaVinci,capelin,0.2,0.8,3.8
D3,20241012,DaVinci,salmon_2,0.1,0.2,3.8
D3,20241012,DaVinci,squid,0.05,0.2,3.8
D3,20241012,DaVinci,prawn,0.15,0.6,3.8
D3,20241012,DaVinci,hake,0,0,3.8
D3,20241012,Pym,herring,0.5,1.8,3.42
D3,20241012,Pym,capelin,0.2,0.72,3.42
D3,20241012,Pym,salmon_2,0.1,0.36,3.42
D3,20241012,Pym,squid,0.05,0.18,3.42
D3,20241012,Pym,prawn,0.15,0.36,3.42
D3,20241012,Pym,hake,0,0,3.42
D3,20241013,DaVinci,herring,0.5,2,3.8
D3,20241013,DaVinci,capelin,0.2,0.8,3.8
D3,20241013,DaVinci,salmon_2,0.1,0.2,3.8
D3,20241013,DaVinci,squid,0.05,0.2,3.8
D3,20241013,DaVinci,prawn,0.15,0.6,3.8
D3,20241013,DaVinci,hake,0,0,3.8
D3,20241013,Pym,herring,0.5,1.8,3.42
D3,20241013,Pym,capelin,0.2,0.72,3.42
D3,20241013,Pym,salmon_2,0.1,0.36,3.42
D3,20241013,Pym,squid,0.05,0.18,3.42
D3,20241013,Pym,prawn,0.15,0.36,3.42
D3,20241013,Pym,hake,0,0,3.42
D3,20241014,DaVinci,herring,0.5,2,3.8
D3,20241014,DaVinci,capelin,0.2,0.8,3.8
D3,20241014,DaVinci,salmon_2,0.1,0.2,3.8
D3,20241014,DaVinci,squid,0.05,0.2,3.8
D3,20241014,DaVinci,prawn,0.15,0.6,3.8
D3,20241014,DaVinci,hake,0,0,3.8
D3,20241014,Pym,herring,0.5,1.8,3.42
D3,20241014,Pym,capelin,0.2,0.72,3.42
D3,20241014,Pym,salmon_2,0.1,0.36,3.42
D3,20241014,Pym,squid,0.05,0.18,3.42
D3,20241014,Pym,prawn,0.15,0.36,3.42
D3,20241014,Pym,hake,0,0,3.42
D4,20241028,DaVinci,herring,0.2,0.96,4.8
D4,20241028,DaVinci,capelin,0.2,0.96,4.8
D4,20241028,DaVinci,salmon_2,0.2,0.96,4.8
D4,20241028,DaVinci,squid,0.2,0.96,4.8
