Sample_ID,sampleid,year
Pv18-1414,18QY0433,2018
Pv18-1415,18QY0434,2018
Pv18-1416,18QY0435,2018
Pv18-1417,18QY0436,2018
Pv18-1418,18QY0437,2018
Pv18-1419,18QY0438,2018
Pv18-1420,18QY0439,2018
Pv18-1421,18QY0440,2018
Pv18-1422,18QY0441,2018
Pv18-1423,18QY0442,2018
Pv18-1424,18QY0443,2018
Pv18-1425,18QY0444,2018
Pv18-1426,18QY0445,2018
Pv18-1427,18QY0446,2018
Pv18-1428,18QY0447,2018
Pv18-1429,18QY0448,2018
Pv18-1430,18QY0449,2018
Pv18-1431,18QY0450,2018
Pv18-1432,18QY0451,2018
Pv18-1433,18QY0452,2018
Pv18-1434,18QY0453,2018
Pv18-1435,18QY0454,2018
Pv18-1436,18QY0455,2018
Pv18-1437,18QY0456,2018
Pv18-1438,18QY0457,2018
Pv18-1439,18QY0458,2018
Pv18-1440,18QY0459,2018
Pv18-1441,18QY0460,2018
NTC_11,NTC_11,NA
NTC_12,NTC_12,NA
NTC_13,NTC_13,NA
NTC_14,NTC_14,NA
NTC_15,NTC_15,NA
NTC_16,NTC_16,NA
NTC_17,NTC_17,NA
NTC_18,NTC_18,NA
NTC_19,NTC_19,NA
NTC_20,NTC_20,NA
NTC_21,NTC_21,NA
NTC_22,NTC_22,NA
NTC_23,NTC_23,NA
NTC_24,NTC_24,NA
NTC_25,NTC_25,NA
NTC_26,NTC_26,NA
NTC_27,NTC_27,NA
NTC_28,NTC_28,NA
NTC_29,NTC_29,NA
NTC_30,NTC_30,NA
NTC_31,NTC_31,NA
NTC_32,NTC_32,NA
NTC_33,NTC_33,NA
NTC_34,NTC_34,NA
NTC_35,NTC_35,NA
NTC_36,NTC_36,NA
NTC_37,NTC_37,NA
NTC_38,NTC_38,NA
NTC_40,NTC_40,NA
NTC_41,NTC_41,NA
NTC_42,NTC_42,NA
