Sample_ID,sampleid,year
Pv17-192,17RH0192,2017
Pv17-193,17RH0193,2017
Pv17-194,17RH0194,2017
Pv17-195,17RH0195,2017
Pv17-196,17RH0196,2017
Pv17-197,17RH0197,2017
Pv17-198,17RH0198,2017
Pv17-199,17RH0199,2017
Pv17-200,17RH0200,2017
Pv17-201,17RH0201,2017
Pv17-202,17RH0202,2017
Pv17-203,17RH0203,2017
Pv17-204,17RH0204,2017
Pv17-205,17RH0205,2017
Pv17-206,17RH0206,2017
Pv17-207,17RH0207,2017
Pv17-208,17RH0208,2017
Pv17-209,17RH0209,2017
Pv17-210,17RH0210,2017
Pv17-211,17RH0211,2017
Pv17-212,17RH0212,2017
Pv17-213,17RH0213,2017
Pv17-214,17RH0214,2017
Pv17-215,17RH0215,2017
NTC_9,NTC_9,NA
Pv17-216,17RH0216,2017
Pv17-217,17RH0217,2017
Pv17-218,17RH0218,2017
Pv17-219,17RH0219,2017
Pv17-220,17RH0220,2017
Pv17-221,17RH0221,2017
Pv17-222,17RH0222,2017
Pv17-223,17RH0223,2017
Pv17-224,17RH0224,2017
Pv17-225,17RH0225,2017
Pv17-226,17RH0226,2017
Pv17-227,17RH0227,2017
Pv17-228,17RH0228,2017
Pv17-229,17RH0229,2017
Pv17-230,17RH0230,2017
Pv17-231,17RH0231,2017
Pv17-232,17RH0232,2017
Pv17-233,17RH0233,2017
Pv17-558,17RH0234,2017
Pv17-559,17RH0235,2017
Pv17-560,17RH0236,2017
Pv17-561,17RH0237,2017
Pv17-562,17RH0238,2017
NTC_10,NTC_10,NA
Pv17-563,17RH0239,2017
Pv17-564,17RH0240,2017
Pv17-565,17RH0241,2017
Pv17-566,17RH0242,2017
Pv17-567,17RH0243,2017
Pv17-568,17RH0244,2017
Pv17-569,17RH0245,2017
Pv17-570,17RH0246,2017
Pv17-571,17RH0247,2017
Pv17-572,17RH0248,2017
Pv17-573,17RH0249,2017
Pv17-574,17RH0250,2017
Pv17-575,17RH0251,2017
Pv17-576,17RH0252,2017
Pv17-577,17RH0253,2017
Pv17-578,17RH0254,2017
Pv17-579,17RH0255,2017
Pv17-580,17RH0256,2017
Pv17-581,17RH0257,2017
Pv17-582,17RH0258,2017
Pv17-583,17RH0259,2017
Pv17-584,17RH0260,2017
Pv17-585,17RH0261,2017
Pv17-586,17RH0262,2017
Pv17-587,17RH0263,2017
Pv17-588,17RH0264,2017
Pv17-589,17RH0265,2017
Pv17-590,17RH0266,2017
Pv17-591,17RH0267,2017
Pv17-592,17RH0268,2017
Pv17-593,17RH0269,2017
Pv17-594,17RH0270,2017
Pv17-595,17RH0271,2017
Pv17-596,17RH0272,2017
Pv17-597,17RH0273,2017
Pv17-598,17RH0274,2017
Pv17-599,17RH0275,2017
Pv17-600,17RH0276,2017
Pv17-601,17RH0277,2017
Pv17-602,17RH0278,2017
Pv17-603,17RH0279,2017
Pv17-604,17RH0280,2017
Pv17-605,17RH0281,2017
Pv17-606,17RH0282,2017
Pv17-607,17RH0283,2017
Pv17-608,17RH0284,2017
Pv17-609,17RH0285,2017
Pv17-610,17RH0286,2017
Pv17-611,17RH0287,2017
Pv17-612,17RH0288,2017
Pv17-613,17RH0289,2017
Pv17-614,17RH0290,2017
