sampleid	well_position	project
18QY0290	A-A12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0291	A-B12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0292	A-C12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0293	A-D12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0294_1	A-E12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0294_2	A-F12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0294_3	A-G12	HarborSealScat_HS_5-6_SPID.0185-0186
Kang_HS_05	A-H12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0295	B-A01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0296	B-B01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0297	B-C01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0298	B-D01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0299	B-E01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0300	B-F01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0301	B-G01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0302	B-H01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0303	B-A02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0304	B-B02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0305	B-C02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0306	B-D02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0307	B-E02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0308	B-F02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0309	B-G02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0310	B-H02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0311	B-A03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0312	B-B03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0313	B-C03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0314	B-D03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0315	B-E03	HarborSealScat_HS_5-6_SPID.0185-0186
