sampleid	well_position	project
Pv18_758_A	D-D11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_759_A	D-E11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_760_A	D-F11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_761_A	D-G11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_762_A	D-H11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_763_A	D-A12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_764_A	D-B12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_765_A	D-C12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_766_A	D-D12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_767_A_1	D-E12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_767_A_2	D-F12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_767_A_3	D-G12	HarborSealScat_HS_5-6_SPID.0185-0186
Kang_SPID.0186	D-H12	HarborSealScat_HS_5-6_SPID.0185-0186
