"SampleID","samplename","model_out_name","time","creek","station","station_num","biol","tech","diet_sp","P18S_taxon_assign","species_list","seal_1_actual_mass","seal_2_actual_mass","seal_1_total_mass","seal_2_total_mass","seal_1_actual_prop","seal_2_actual_prop","expected_prop","has_multiple_seals"
"PvCF_D1_05","PvCF_D1_05_TR1","1_PvCF_1_5",1,"PvCF","D1",1,5,1,"squid","Cephalopoda","Doryteuthis opalescens",0.33,0.32,3.21,2.93,0.102803738317757,0.109215017064846,0.1,TRUE
"PvCF_D1_05","PvCF_D1_05_TR1","1_PvCF_1_5",1,"PvCF","D1",1,5,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.21,2.93,0,0,0,TRUE
"PvCF_D1_05","PvCF_D1_05_TR2","1_PvCF_1_5",1,"PvCF","D1",1,5,2,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",2.88,2.61,3.21,2.93,0.897196261682243,0.890784982935154,0.9,TRUE
"PvCF_D1_05","PvCF_D1_05_TR2","1_PvCF_1_5",1,"PvCF","D1",1,5,2,"squid","Cephalopoda","Doryteuthis opalescens",0.33,0.32,3.21,2.93,0.102803738317757,0.109215017064846,0.1,TRUE
"PvCF_D1_05","PvCF_D1_05_TR2","1_PvCF_1_5",1,"PvCF","D1",1,5,2,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.21,2.93,0,0,0,TRUE
"PvCF_D1_05","PvCF_D1_05_TR3","1_PvCF_1_5",1,"PvCF","D1",1,5,3,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",2.88,2.61,3.21,2.93,0.897196261682243,0.890784982935154,0.9,TRUE
"PvCF_D1_05","PvCF_D1_05_TR3","1_PvCF_1_5",1,"PvCF","D1",1,5,3,"squid","Cephalopoda","Doryteuthis opalescens",0.33,0.32,3.21,2.93,0.102803738317757,0.109215017064846,0.1,TRUE
"PvCF_D1_05","PvCF_D1_05_TR3","1_PvCF_1_5",1,"PvCF","D1",1,5,3,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.21,2.93,0,0,0,TRUE
"PvCF_D1_06","PvCF_D1_06_TR1","1_PvCF_1_6",1,"PvCF","D1",1,6,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",2.88,2.61,3.21,2.93,0.897196261682243,0.890784982935154,0.9,TRUE
"PvCF_D1_06","PvCF_D1_06_TR1","1_PvCF_1_6",1,"PvCF","D1",1,6,1,"squid","Cephalopoda","Doryteuthis opalescens",0.33,0.32,3.21,2.93,0.102803738317757,0.109215017064846,0.1,TRUE
"PvCF_D1_06","PvCF_D1_06_TR1","1_PvCF_1_6",1,"PvCF","D1",1,6,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.21,2.93,0,0,0,TRUE
"PvCF_D1_06","PvCF_D1_06_TR2","1_PvCF_1_6",1,"PvCF","D1",1,6,2,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",2.88,2.61,3.21,2.93,0.897196261682243,0.890784982935154,0.9,TRUE
"PvCF_D1_06","PvCF_D1_06_TR2","1_PvCF_1_6",1,"PvCF","D1",1,6,2,"squid","Cephalopoda","Doryteuthis opalescens",0.33,0.32,3.21,2.93,0.102803738317757,0.109215017064846,0.1,TRUE
"PvCF_D1_06","PvCF_D1_06_TR2","1_PvCF_1_6",1,"PvCF","D1",1,6,2,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.21,2.93,0,0,0,TRUE
"PvCF_D1_06","PvCF_D1_06_TR3","1_PvCF_1_6",1,"PvCF","D1",1,6,3,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",2.88,2.61,3.21,2.93,0.897196261682243,0.890784982935154,0.9,TRUE
"PvCF_D1_06","PvCF_D1_06_TR3","1_PvCF_1_6",1,"PvCF","D1",1,6,3,"squid","Cephalopoda","Doryteuthis opalescens",0.33,0.32,3.21,2.93,0.102803738317757,0.109215017064846,0.1,TRUE
"PvCF_D1_06","PvCF_D1_06_TR3","1_PvCF_1_6",1,"PvCF","D1",1,6,3,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.21,2.93,0,0,0,TRUE
"PvCF_D1_07","PvCF_D1_07_TR1","1_PvCF_1_7",1,"PvCF","D1",1,7,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,3.07,3.52,3.34,0.897727272727273,0.919161676646707,0.9,TRUE
"PvCF_D1_07","PvCF_D1_07_TR1","1_PvCF_1_7",1,"PvCF","D1",1,7,1,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.27,3.52,3.34,0.102272727272727,0.0808383233532934,0.1,TRUE
"PvCF_D1_07","PvCF_D1_07_TR1","1_PvCF_1_7",1,"PvCF","D1",1,7,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.34,0,0,0,TRUE
