Species,Common_name,sp_abbrev,MiFish,In_Mish_DB,18S_repfish,18S_16S_everything,allfish-mam-comb,extract_ID_1,qubit_1,extract_ID_2,qubit_2,extract_3,qubit_3,Dilute to 5 ng/ul,dilute to 50 ul,FINAL_post_dil_conc,qubit_0507,dil_to 2ng,dil_to50ul,final_dil_conc,qubit_0508,notes
Icelinus borealis,Northern sculpin,NorSculp,Y,Y,N,Y,Y,01_NorSculp_B,10.1,,,,,25.7,24.3,4.06,,,,,4.16,
Isopsetta isolepis,Butter sole,ButtSol,Y,N,N,Y,Y,01_ButtSol,13.6,,,,,19.1,30.9,3.78,,,,,,
Lampetra fluviatilis,river lamprey?,RivLamp,Y,GENUS,Y,Y,Y,01_RivLamp,0.334,,,,,,,0.604,,,,,,
Lepidogobius lepidus,Bay goby,BayGob,Y,Y,N,Y,Y,01_BayGob,11.4,,,,,22.8,27.2,4.23,,,,,5.1,
Lepidopsetta bilineata,Rock sole,RckSol,Y,GENUS,N,Y,Y,01_RckSol,11.4,,,,,22.8,27.2,4.06,,,,,5.09,
Leptocottus armatus,Pacific staghorn sculpin,PstahSculp,Y,Y,N,Y,Y,01_PStahSculp,4.18,03_PStahSculp,1.37,,,,,3.44,,,,,3.63,
Liparis dennyi,Marbled snailfish,MarbSnail,Y,GENUS,N,Y,Y,01_MarbSnail_B,0.138,,,,,,,0.077,,,,,,
Liparis fucensis,Slipskin snailfish,SlipSnail,Y,Y,N,Y,Y,01_SlipSnail,4.28,,,,,,,3.8,,,,,3.59,
Liparis pulchellus,Showy snailfish,ShowSnail,Y,Y,N,Y,Y,01_ShowSnail,6.37,,,,,40.8,9.2,4.47,,,,,,
Lumpenus sagitta,Snake prickleback,SnakPrick,Y,Y,N,Y,Y,01_SnakPrick,0.859,,,,,,,0.82,,,,,0.891,
Lycodes pacificus,Blackbelly eelpout,BlkEelpt,Y,GENUS,N,Y,Y,01_BlkEelpt,2.07,,,,,,,1.65,,,,,1.95,
Lyopsetta exilis,Slender sole,SlendSol,Y,Y,N,Y,Y,03_SlendSol,1.81,02_SlendSol,1.2,,,,,1.74,,,,,1.86,
Merluccius productus,Hake,Hake,Y,Y,N,Y,Y,01_Hake,17.1,,,,,15.2,34.8,4.49,4.76,,,,5.41,
Microgadus proximus,Pacific tomcod,PacTom,Y,Y,N,Y,Y,01_PacTom,7.92,,,,,32.8,17.2,4.5,,,,,5.11,
Microstomus pacificus,Dover sole,DovSol,Y,Y,N,Y,Y,02_DovSol,26.4,01_DovSol,0.339,03_DovSol,BLOQ,9.8,40.2,2.42,,,,,3.01,
Myoxocephalus polycanthocephalus,Great sculpin,GrtSculp,Y,GENUS,N,Y,Y,01_GrtSculp,1.77,,,,,,,1.92,,,,,,
Nautichthys oculofasciatus,Sailfin sculpin,SailSculp,Y,Y,N,Y,Y,01_SailSculp,29.1,,,,,8.9,41.1,3.91,,,,,,29.1before Dilution.
Neotrypaea californiensis,Bay ghost shrimp,GhShrmp,N,N,Y,Y,N,01_GhShr,14.8,,,,,13.5,36.5,3.94,14.8,6.76,43.24,1.81,,
Nereis vexillosa,Mussel polychaete worm,MusPolyWorm,N,N,Y,Y,N,01_MusPolyWorm,2.63,,,,,,,,2.63,,,,,
Octopus rubescens,Red octopus,RedOcto,N,N,Y,Y,N,01_RedOcto_01,0.597,01_RedOcto_06,0.662,,,,,,0.662,,,,,
Oligocottus maculosus,Tidepool sculpin,TpoolSculp,Y,GENUS,N,Y,Y,TpoolSculp_01,4.51,,,,,,,4.23,,,,,,
Oncorhynchus gorbuscha,Pink salmon,PnkSal,Y,Y,N,Y,Y,01_PinkSal,30.8,,,,,8.4,41.6,2.52,,,,,3.06,Qubit might be weird
Oncorhynchus keta,Chum salmon juv,ChumSal,Y,Y,N,Y,Y,01_ChumSal_dil,58,01_ChumSal,116,,,4.5,45.5,5.13,5.69,17.6,32.4,1.69,1.58,add 200 ul H2O to diltue to readable
Oncorhynchus kisutch,Coho salmon,CohoSal,Y,Y,N,Y,Y,01_CohoSal,6.9,01_CohoSal_VQ,60,,,37.7,12.3,5.25,,,,,5.32,
Oncorhynchus mykiss,Steelhead,SteelHd,Y,Y,N,Y,Y,01_SteelHd,23.7,,,,,11,39,3.11,,,,,3.6,
Oncorhynchus nerka,Sockeye salmon,SockSal,Y,Y,N,Y,Y,01_SockSal,22.5,,,,,11.6,38.4,2.57,,,,,3.26,
Oncorhynchus tshawytscha,Chinook salmon,ChinSal,Y,Y,N,Y,Y,01_ChinSal,33.1,,,,,7.9,42.1,3.52,,,,,3.53,
Ophiodon elongatus,Lingcod,Lingcod,Y,Y,N,Y,Y,03_Lingcod,1.46,01_Lingcod,0.861,02_Lingcod,1.27,,,1.65,,,,,1.66,
Pandalus hypsinotus,Coonstripe shrimp,CoonStShrp,N,N,Y,Y,N,01_CoonStShr,0.799,02_CoonStShr_01,BLOQ,,,,,,0.799,,,,,
Pandalus jordani,Pink shrimp,PnkShrmp,N,N,Y,Y,N,03_PnkShr,0.603,01_PnkShr,BLOQ,02_PinkShr,BLOQ,,,,0.603,,,,,
Pandalus platyceros,Spot prawn,SptPrawn,N,N,Y,Y,N,SpotPrawn_01,1.25,03_SptPrawn_01,BLOQ,02_SptPrawn,0.493,03_SptPrawn,BLOQ,,1.25,,,,,
Parophrys vetulus,English sole,EngSol,Y,Y,N,Y,Y,02_EngSol,0.99,,,,,,,0.83,,,,,,
Peprilus simillimus,Pacific pompano,Pompano,Y,GENUS,N,Y,Y,01_PacPomp_B,1.42,,,,,,,1.28,,,,,,
Phoca vitulina,Harbor Seal,Pv,Y,Y,Y,Y,y,HarSeal_dil,36.8,WDFW_2023_160248,147.2,,,7.1,42.9,4.71,4.81,,,,5.75,add 150 ul H2O to diltue to readable
Pholis laeta,Crescent gunnel,CresGun,Y,Y,N,Y,Y,01_CresGun,20.5,,,,,12.7,37.3,2.75,,,,,3.33,
Pholis ornata,Saddleback gunnel,SaddleGun,Y,Y,N,Y,Y,02_SaddleGun,9.98,,,,,26.1,23.9,4.64,,,,,5.77,
Platichthys stellatus,Starry flounder,StarFloun,Y,GENUS,N,Y,Y,01_StarFloun,0.627,,,,,,,0.548,,,,,0.66,
Pleuronichthys coenosus,C-O sole,COSol,Y,Y,N,Y,Y,02_COSol,1.72,01_COSol,0.648,03_COSol,0.805,,,1.51,,,,,,
Podothecus accipenserinus,Sturgeon Poacher,SturPoach,Y,Y,N,Y,Y,02_SturPoach,1.73,,,,,,,2.13,,,,,,
Porichthys notatus,Plainfin midshipman,PlfinMid,Y,Y,N,Y,Y,01_PlfinMid,9.87,,,,,26.3,23.7,4.17,,,,,4.67,
Radulinus asprellus,Slim sculpin,SlimSculp,Y,Y,N,Y,Y,01_SlimSculp_B,3.42,,,,,,,3.36,,,,,,
Raja binoculata,Big skate,Bskate,Y,Y,Y,Y,N,01_Bskate_B,22.7,,,,,11.5,38.5,4.83,5.11,19.6,30.4,1.96,2.52,
Rhacochilus vacca,Pile perch,PPerch,Y,N,N,Y,Y,02_PPerch,1.8,01_PPerch,1.5,03_PPerch,0.94,,,1.85,,,,,,
Ronquilus jordani,Northern ronquil,NorRonq,Y,Y,N,Y,Y,01_NorRonq_B,5.93,01_NorRonq,0.211,,,,,4.86,,,,,,
Rossia pacifica,Stubby squid,StubSq,N,N,Y,Y,N,01_StubSquid,0.133,,,,,,,,0.133,,,,,
Salmo salar,Atlantic salmon,AtlSal,Y,Y,N,Y,Y,01_ AtlSal,11.5,,,,,22.6,27.4,5.38,,,,,6.02,
Sebastes auriculatus,Brown Rockfish,BrRockfish,Y,GENUS,N,Y,Y,01_BrRock_B,0.207,,,,,,,0.17,,,,,,
Sebastes caurinus,Copper rockfish,CURock,Y,GENUS,N,Y,Y,01_CURock_B,1.69,,,,,,,1.61,,,,,1.92,
Sebastes maliger,Quillback rockfish,QuilRockF,Y,GENUS,N,Y,Y,01_QuilRock_B,5.71,,,,,,,5.91,,,,,6.98,
Sebastes melanops,Black rockfish,BlkRock,Y,GENUS,N,Y,Y,01_BlkRock_B,1.61,,,,,,,1.64,,,,,,
Sebastes pinniger,Canary Rockfish,CanRock,Y,GENUS,N,Y,Y,01_CanRock_B,10.7,,,,,24.3,25.7,4.45,,,,,9.81,
Spirinchus thaleichthys,Longfin smelt,LfinSmel,Y,Y,N,Y,Y,01_Lfsmelt,0.99,,,,,,,1.01,,,,,1.1,
Squalus acanthias/Squalus suckleyi,Spiny-dogfish,SpDog,Y,Y,Y,Y,N,01_SpDog,5.98,,,,,,,4.65,5.45,18.3,31.7,1.59,1.69,
