SampleID,Date,Time,Diet,Seal_ID_1,Seal_ID_2,Scat_details,Tech_rep,PCR_ID
PvCF_D2_06,20240903,12:59,2,DaVinci,Pym,Pool,1,PvCF_D2_06_TR1
PvCF_D2_06,20240903,12:59,2,DaVinci,Pym,Pool,2,PvCF_D2_06_TR2
PvCF_D2_06,20240903,12:59,2,DaVinci,Pym,Pool,3,PvCF_D2_06_TR3
PvCF_D2_07,20240904,10:08,2,DaVinci,Pym,Pool,1,PvCF_D2_07_TR1
PvCF_D2_07,20240904,10:08,2,DaVinci,Pym,Pool,2,PvCF_D2_07_TR2
PvCF_D2_07,20240904,10:08,2,DaVinci,Pym,Pool,3,PvCF_D2_07_TR3
PvCF_D2_08,20240905,14:10,2,DaVinci,Pym,Pool,1,PvCF_D2_08_TR1
PvCF_D2_08,20240905,14:10,2,DaVinci,Pym,Pool,2,PvCF_D2_08_TR2
PvCF_D2_08,20240905,14:10,2,DaVinci,Pym,Pool,3,PvCF_D2_08_TR3
PvCF_D2_09,20240905,14:10,2,DaVinci,Pym,Pool,1,PvCF_D2_09_TR1
PvCF_D2_09,20240905,14:10,2,DaVinci,Pym,Pool,2,PvCF_D2_09_TR2
PvCF_D2_09,20240905,14:10,2,DaVinci,Pym,Pool,3,PvCF_D2_09_TR3
PvCF_D2_10,20240906,10:51,2,DaVinci,Pym,Pool,1,PvCF_D2_10_TR1
PvCF_D2_10,20240906,10:51,2,DaVinci,Pym,Pool,2,PvCF_D2_10_TR2
PvCF_D2_10,20240906,10:51,2,DaVinci,Pym,Pool,3,PvCF_D2_10_TR3
PvCF_D2_11,20240906,13:23,2,DaVinci,Pym,Pool,1,PvCF_D2_11_TR1
PvCF_D2_11,20240906,13:23,2,DaVinci,Pym,Pool,2,PvCF_D2_11_TR2
PvCF_D2_11,20240906,13:23,2,DaVinci,Pym,Pool,3,PvCF_D2_11_TR3
PvCF_D3_01,20241008,12:15,3,DaVinci,Pym,Pool,1,PvCF_D3_01_TR1
PvCF_D3_01,20241008,12:15,3,DaVinci,Pym,Pool,2,PvCF_D3_01_TR2
PvCF_D3_01,20241008,12:15,3,DaVinci,Pym,Pool,3,PvCF_D3_01_TR3
PvCF_D3_02,20241009,10:00,3,DaVinci,Pym,Pool,1,PvCF_D3_02_TR1
PvCF_D3_02,20241009,10:00,3,DaVinci,Pym,Pool,2,PvCF_D3_02_TR2
PvCF_D3_02,20241009,10:00,3,DaVinci,Pym,Pool,3,PvCF_D3_02_TR3
PvCF_D3_03,20241009,12:30,3,DaVinci,Pym,Pool,1,PvCF_D3_03_TR1
PvCF_D3_03,20241009,12:30,3,DaVinci,Pym,Pool,2,PvCF_D3_03_TR2
PvCF_D3_03,20241009,12:30,3,DaVinci,Pym,Pool,3,PvCF_D3_03_TR3
PvCF_D3_04,20241010,10:03,3,DaVinci,Pym,Pool,1,PvCF_D3_04_TR1
PvCF_D3_04,20241010,10:03,3,DaVinci,Pym,Pool,2,PvCF_D3_04_TR2
PvCF_D3_04,20241010,10:03,3,DaVinci,Pym,Pool,3,PvCF_D3_04_TR3
PvCF_D3_05,20241010,10:05,3,DaVinci,Pym,Pool,1,PvCF_D3_05_TR1
PvCF_D3_05,20241010,10:05,3,DaVinci,Pym,Pool,2,PvCF_D3_05_TR2
PvCF_D3_05,20241010,10:05,3,DaVinci,Pym,Pool,3,PvCF_D3_05_TR3
PvCF_D3_06,20241011,9:45,3,DaVinci,Pym,Pool,1,PvCF_D3_06_TR1
PvCF_D3_06,20241011,9:45,3,DaVinci,Pym,Pool,2,PvCF_D3_06_TR2
PvCF_D3_06,20241011,9:45,3,DaVinci,Pym,Pool,3,PvCF_D3_06_TR3
PvCF_D3_07,20241011,10:00,3,DaVinci,Pym,Pool,1,PvCF_D3_07_TR1
PvCF_D3_07,20241011,10:00,3,DaVinci,Pym,Pool,2,PvCF_D3_07_TR2
PvCF_D3_07,20241011,10:00,3,DaVinci,Pym,Pool,3,PvCF_D3_07_TR3
PvCF_D3_08,20241012,11:00,3,DaVinci,Pym,Pool,1,PvCF_D3_08_TR1
